"","blue....QSVZbyPSVZ__"
"1055","TNIK"
"1056","TNK2"
"1057","TNKS1BP1"
"1058","TNS1"
"1059","TOMM40L"
"1060","TOR1AIP1"
"1061","TOR1AIP2"
"1062","TPCN1"
"1063","TPD52L1"
"1064","TPI1"
"1065","TPM2"
"1066","TPPP3"
"1067","TPRA1"
"1068","TPRG1L"
"1069","TRAF3IP2"
"1070","TRAF4"
"1071","TRAM1L1"
"1072","TRAPPC11"
"1073","TRIM61"
"1074","TRIP4"
"1075","TRPC1"
"1076","TRPM4"
"1077","TSEN2"
"1078","TSPAN33"
"1079","TSPAN5"
"1080","TSPAN7"
"1081","TTC12"
"1082","TTC14"
"1083","TTYH2"
"1084","TUBB2A"
"1085","TUBB2B"
"1086","TULP3"
"1087","TXNL4B"
"1088","UBXN10"
"1089","UFSP2"
"1090","UGT8"
"1091","UNC45A"
"1092","UNC5A"
"1093","UNC80"
"1094","UQCRC1"
"1095","USP19"
"1096","USP4"
"1097","VAMP5"
"1098","VAMP7"
"1099","VHL"
"1100","VILL"
"1101","VPS13C"
"1102","VPS54"
"1103","VSIG10"
"1104","VSTM4"
"1105","VWA1"
"1106","VWA5A"
"1107","WASF1"
"1108","WDFY3"
"1109","WDR17"
"1110","WDR47"
"1111","WDR48"
"1112","WLS"
"1113","WNT7B"
"1114","WWC2"
"1115","XPC"
"1116","XPR1"
"1117","XYLB"
"1118","YAF2"
"1119","YIPF6"
"1120","YPEL3"
"1121","ZBTB11"
"1122","ZBTB21"
"1123","ZBTB24"
"1124","ZCCHC24"
"1125","ZCCHC4"
"1126","ZDHHC1"
"1127","ZDHHC18"
"1128","ZDHHC3"
"1129","ZDHHC9"
"1130","ZFHX4"
"1131","ZFP14"
"1132","ZFP3"
"1133","ZFP30"
"1134","ZFP36L2"
"1135","ZIC5"
"1136","ZMAT1"
"1137","ZMAT3"
"1138","ZMPSTE24"
"1139","ZMYND10"
"1140","ZNF121"
"1141","ZNF274"
"1142","ZNF276"
"1143","ZNF329"
"1144","ZNF365"
"1145","ZNF383"
"1146","ZNF423"
"1147","ZNF426"
"1148","ZNF444"
"1149","ZNF45"
"1150","ZNF451"
"1151","ZNF516"
"1152","ZNF518B"
"1153","ZNF526"
"1154","ZNF566"
"1155","ZNF574"
"1156","ZNF608"
"1157","ZNF639"
"1158","ZNF687"
"1159","ZNF77"
"1160","ZNF845"
"1161","ZNRF1"
"1162","ZRANB2"
"1163","ZRSR2"
"1164","ZSCAN22"
"1165","ZSWIM4"
"1166","ZXDC"
