"","HuAgeGBsplit_02....QGBObyPGBO__"
"773","SOWAHD"
"774","SPG21"
"775","SPRY3"
"776","SPSB4"
"777","SRM"
"778","SSR4"
"779","SSTR3"
"780","ST13P5"
"781","ST20-AS1"
"782","ST6GAL2"
"783","STAMBPL1"
"784","STK24-AS1"
"785","STOX1"
"786","SYPL1P2"
"787","TAF9B"
"788","TANGO6"
"789","TAS2R6P"
"790","TBC1D25"
"791","TBCB"
"792","TCEAL4"
"793","TCEAL5"
"794","TCEAL8"
"795","TDRKH"
"796","TEAD4"
"797","TEX46"
"798","TFAP4"
"799","TFDP2"
"800","TGFB2-AS1"
"801","THAP3"
"802","THOC2"
"803","TIMM8A"
"804","TLE6"
"805","TMA16"
"806","TMEM109"
"807","TMEM119"
"808","TMEM145"
"809","TMEM177"
"810","TMEM206"
"811","TMEM35A"
"812","TMEM39B"
"813","TMEM47"
"814","TMEM81"
"815","TMEM97"
"816","TMSB15A"
"817","TNFAIP3"
"818","TPI1"
"819","TPI1P1"
"820","TPPP3"
"821","TRBV8-2"
"822","TRH"
"823","TRMT2B"
"824","TSEN34"
"825","TSPAN33"
"826","TSPOAP1"
"827","TUBB2A"
"828","TUBB2B"
"829","TUBBP1"
"830","UBA1"
"831","UBE2M"
"832","UBE2MP1"
"833","UBE2NP1"
"834","UBE2S"
"835","UBQLN2"
"836","UCK2"
"837","UPF3B"
"838","UQCRH"
"839","USP11"
"840","USP12PX"
"841","VBP1"
"842","WDR13"
"843","WDR77"
"844","WFIKKN1"
"845","WWC2-AS2"
"846","XRCC6P1"
"847","XRCC6P2"
"848","YWHAZP4"
"849","Z69733.1"
"850","ZAR1"
"851","ZC3H12A"
"852","ZGLP1"
"853","ZIC5"
"854","ZNF358"
"855","ZNF48"
"856","ZNF503"
"857","ZNF569"
"858","ZNF648"
"859","ZNF835"
"860","ZNF877P"
"861","ZNRF1"
