PSID Gene Module kTotal kWithin kOut kDiff rank
VDAC1P9 VDAC1P9 HuAgeGBsplit_02 19.6806144558122 11.8483031145522 7.83231134125998 4.01599177329225 183
LINC01516 LINC01516 HuAgeGBsplit_02 20.1429636414182 11.8455763940748 8.29738724734344 3.54818914673132 184
AC024475.4 AC024475.4 HuAgeGBsplit_02 19.5968630169587 11.780569508527 7.8162935084317 3.9642760000953 185
AC024405.2 AC024405.2 HuAgeGBsplit_02 23.3456313634635 11.7638808049844 11.5817505584792 0.182130246505199 186
SMIM31 SMIM31 HuAgeGBsplit_02 21.5653911118962 11.7109522298061 9.85443888209009 1.85651334771605 187
AC093730.1 AC093730.1 HuAgeGBsplit_02 20.285477352194 11.6703337657669 8.61514358642709 3.05519017933985 188
AL161782.1 AL161782.1 HuAgeGBsplit_02 21.8123536644032 11.6279283228817 10.1844253415215 1.44350298136026 189
AC137735.1 AC137735.1 HuAgeGBsplit_02 21.1993895157964 11.536325208848 9.66306430694836 1.87326090189967 190
AL160237.3 AL160237.3 HuAgeGBsplit_02 25.316395349345 11.4523288208062 13.8640665285389 -2.41173770773269 191
AC105313.1 AC105313.1 HuAgeGBsplit_02 23.4282817297854 11.4375137535198 11.9907679762656 -0.553254222745792 192
PRAMEF11 PRAMEF11 HuAgeGBsplit_02 19.4040977671156 11.3961692636657 8.00792850344988 3.38824076021586 193
UBQLN1P1 UBQLN1P1 HuAgeGBsplit_02 20.3440339364482 11.3726064499882 8.97142748645993 2.40117896352829 194
AC112518.1 AC112518.1 HuAgeGBsplit_02 19.5079808080191 11.2680058834521 8.239974924567 3.02803095888513 195
CLCN3P1 CLCN3P1 HuAgeGBsplit_02 18.9344886539664 11.2195763480484 7.71491230591802 3.50466404213037 196
LHX4 LHX4 HuAgeGBsplit_02 18.8685014313487 11.2008331758384 7.66766825551029 3.5331649203281 197
AL360007.1 AL360007.1 HuAgeGBsplit_02 21.1226534626101 11.199476089824 9.92317737278608 1.27629871703797 198
LINC02357 LINC02357 HuAgeGBsplit_02 23.4551973538527 11.0477975282424 12.4073998256103 -1.35960229736786 199
AC096736.3 AC096736.3 HuAgeGBsplit_02 19.3176105906975 11.0401725539305 8.27743803676695 2.76273451716357 200
CPN1 CPN1 HuAgeGBsplit_02 20.378771442614 11.0049792472747 9.37379219533931 1.63118705193538 201
AC092978.1 AC092978.1 HuAgeGBsplit_02 19.8858128154877 10.9687371182507 8.91707569723703 2.05166142101368 202
OR4A49P OR4A49P HuAgeGBsplit_02 19.3471300937363 10.8339840386685 8.51314605506782 2.32083798360067 203
PLSCR2 PLSCR2 HuAgeGBsplit_02 20.5446587076318 10.8094642362243 9.73519447140745 1.07426976481684 204
PRDX2P2 PRDX2P2 HuAgeGBsplit_02 18.562129107546 10.7973341370943 7.76479497045172 3.03253916664261 205
AC104472.3 AC104472.3 HuAgeGBsplit_02 18.3287443942406 10.7660440822731 7.56270031196749 3.20334377030564 206
AL137224.1 AL137224.1 HuAgeGBsplit_02 21.201239556131 10.73744019043 10.4637993657011 0.273640824728858 207
AC096736.1 AC096736.1 HuAgeGBsplit_02 20.1966013545559 10.6339561999295 9.56264515462639 1.0713110453031 208
AL135790.1 AL135790.1 HuAgeGBsplit_02 18.9548246441124 10.6122644666874 8.34256017742501 2.26970428926242 209
SLC2A7 SLC2A7 HuAgeGBsplit_02 20.2861064377857 10.5974700042273 9.68863643355844 0.908833570668861 210
POU4F2 POU4F2 HuAgeGBsplit_02 17.685027946288 10.5519522055057 7.13307574078233 3.41887646472332 211
LINC02299 LINC02299 HuAgeGBsplit_02 25.2682908893068 10.5119684179038 14.756322471403 -4.24435405349911 212
ATOH1 ATOH1 HuAgeGBsplit_02 18.0267599971004 10.4876493364866 7.53911066061383 2.94853867587274 213
DCDC1 DCDC1 HuAgeGBsplit_02 18.0633671360534 10.4831654181931 7.58020171786033 2.90296370033273 214
AC079340.2 AC079340.2 HuAgeGBsplit_02 24.3473605095976 10.4458577767889 13.9015027328086 -3.4556449560197 215
LINC00927 LINC00927 HuAgeGBsplit_02 20.6149039052003 10.4288658772072 10.1860380279931 0.242827849214066 216
AC009226.1 AC009226.1 HuAgeGBsplit_02 20.5257216745376 10.4050605303972 10.1206611441404 0.28439938625672 217
CHIA CHIA HuAgeGBsplit_02 20.0472167946935 10.4039950729211 9.64322172177238 0.7607733511487 218
RNU6-67P RNU6-67P HuAgeGBsplit_02 21.2301195495736 10.4003651692356 10.829754380338 -0.429389211102333 219
LINC00352 LINC00352 HuAgeGBsplit_02 18.0549381213589 10.3890850042402 7.66585311711873 2.72323188712148 220
SNRPGP6 SNRPGP6 HuAgeGBsplit_02 18.4448380585357 10.349304342032 8.09553371650366 2.25377062552836 221
AC131956.1 AC131956.1 HuAgeGBsplit_02 25.7783240229415 10.30897810482 15.4693459181215 -5.16036781330149 222
SAMMSON SAMMSON HuAgeGBsplit_02 23.6457824627715 10.2980005393676 13.3477819234039 -3.0497813840363 223
AC105021.1 AC105021.1 HuAgeGBsplit_02 19.8981554979977 10.2956089642339 9.60254653376374 0.693062430470174 224
LINC00349 LINC00349 HuAgeGBsplit_02 19.9442370155845 10.2244555162185 9.719781499366 0.504674016852537 225
LINC01079 LINC01079 HuAgeGBsplit_02 19.4537652637984 10.1508248410308 9.30294042276757 0.847884418263234 226
