"","Module","Gene"
"AC138466.1","c1_HuAgeGBsplitRnaseq_10","AC138466.1"
"AC138932.4","c1_HuAgeGBsplitRnaseq_10","AC138932.4"
"AC138965.3","c1_HuAgeGBsplitRnaseq_10","AC138965.3"
"AC139749.1","c1_HuAgeGBsplitRnaseq_10","AC139749.1"
"AC144568.1","c1_HuAgeGBsplitRnaseq_10","AC144568.1"
"AC147067.1","c1_HuAgeGBsplitRnaseq_10","AC147067.1"
"AC148477.1","c1_HuAgeGBsplitRnaseq_10","AC148477.1"
"AC148477.7","c1_HuAgeGBsplitRnaseq_10","AC148477.7"
"AC148477.9","c1_HuAgeGBsplitRnaseq_10","AC148477.9"
"AC174048.1","c1_HuAgeGBsplitRnaseq_10","AC174048.1"
"AC231981.1","c1_HuAgeGBsplitRnaseq_10","AC231981.1"
"AC241644.1","c1_HuAgeGBsplitRnaseq_10","AC241644.1"
"AC244034.2","c1_HuAgeGBsplitRnaseq_10","AC244034.2"
"AC245047.4","c1_HuAgeGBsplitRnaseq_10","AC245047.4"
"ACOX2","c1_HuAgeGBsplitRnaseq_10","ACOX2"
"ACP1","c1_HuAgeGBsplitRnaseq_10","ACP1"
"ACSS2","c1_HuAgeGBsplitRnaseq_10","ACSS2"
"ACTA1","c1_HuAgeGBsplitRnaseq_10","ACTA1"
"ACTBP8","c1_HuAgeGBsplitRnaseq_10","ACTBP8"
"ACTG1P15","c1_HuAgeGBsplitRnaseq_10","ACTG1P15"
"ACVR1C","c1_HuAgeGBsplitRnaseq_10","ACVR1C"
"ADAM17","c1_HuAgeGBsplitRnaseq_10","ADAM17"
"ADGRD1","c1_HuAgeGBsplitRnaseq_10","ADGRD1"
"ADGRG5","c1_HuAgeGBsplitRnaseq_10","ADGRG5"
"ADI1","c1_HuAgeGBsplitRnaseq_10","ADI1"
"ADI1P1","c1_HuAgeGBsplitRnaseq_10","ADI1P1"
"AFTPH","c1_HuAgeGBsplitRnaseq_10","AFTPH"
"AGBL2","c1_HuAgeGBsplitRnaseq_10","AGBL2"
"AGBL5","c1_HuAgeGBsplitRnaseq_10","AGBL5"
"AGR2","c1_HuAgeGBsplitRnaseq_10","AGR2"
"AGR3","c1_HuAgeGBsplitRnaseq_10","AGR3"
"AHRR","c1_HuAgeGBsplitRnaseq_10","AHRR"
