"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"c1_HuAgeGBsplitRnaseq_329","TAPbyQNP__","User",4.46463231615944e-07
"c1_HuAgeGBsplitRnaseq_158","PSVZbyQSVZ__","User",4.89401183278185e-07
"c1_HuAgeGBsplitRnaseq_158","PGBCbyQGBC__","User",5.14018440033053e-07
"c1_HuAgeGBsplitRnaseq_44","PGBCbyQGBC__","User",5.62490356558544e-07
"c1_HuAgeGBsplitRnaseq_23","QSVZbyPSVZ__","User",5.6414625930955e-07
"c1_HuAgeGBsplitRnaseq_47","PGBCbyQGBC__","User",5.72854581850466e-07
"c1_HuAgeGBsplitRnaseq_34","QSVZbyPSVZ__","User",5.78169936436475e-07
"c1_HuAgeGBsplitRnaseq_29","NPCbyNSC__","User",6.23610660514294e-07
"c1_HuAgeGBsplitRnaseq_254","PSVZbyQSVZ__","User",6.36151754734882e-07
"c1_HuAgeGBsplitRnaseq_191","QSVZbyPSVZ__","User",6.63117766833665e-07
"c1_HuAgeGBsplitRnaseq_215","NPCbyNSC__","User",7.22704208615815e-07
"c1_HuAgeGBsplitRnaseq_37","QSVZbyPSVZ__","User",8.29361597233094e-07
"c1_HuAgeGBsplitRnaseq_356","PSVZbyQSVZ__","User",1.02402356669684e-06
"c1_HuAgeGBsplitRnaseq_37","PSVZbyQSVZ__","User",1.06904138819929e-06
"c1_HuAgeGBsplitRnaseq_161","TAPbyQNP__","User",1.32273522962777e-06
"c1_HuAgeGBsplitRnaseq_1590","PGBCbyQGBC__","User",1.44353814881379e-06
"c1_HuAgeGBsplitRnaseq_57","NSCbyNPC__","User",1.81520434256686e-06
"c1_HuAgeGBsplitRnaseq_254","PGBCbyQGBC__","User",2.19467364647016e-06
"c1_HuAgeGBsplitRnaseq_294","PGBCbyQGBC__","User",2.28531144950374e-06
"c1_HuAgeGBsplitRnaseq_29","PSVZbyQSVZ__","User",2.31623630245163e-06
"c1_HuAgeGBsplitRnaseq_59","PSVZbyQSVZ__","User",2.71127441184798e-06
"c1_HuAgeGBsplitRnaseq_356","TAPbyQNP__","User",2.96141780819751e-06
"c1_HuAgeGBsplitRnaseq_45","QGBObyPGBO__","User",3.0242234959158e-06
"c1_HuAgeGBsplitRnaseq_162","PGBCbyQGBC__","User",3.04778640053789e-06
"c1_HuAgeGBsplitRnaseq_681","PGBCbyQGBC__","User",3.53824572201566e-06
"c1_HuAgeGBsplitRnaseq_303","TAPbyQNP__","User",3.54825268789581e-06
"c1_HuAgeGBsplitRnaseq_306","PGBCbyQGBC__","User",3.85954989928267e-06
"c1_HuAgeGBsplitRnaseq_223","PSVZbyQSVZ__","User",3.95738252272864e-06
"c1_HuAgeGBsplitRnaseq_292","PGBCbyQGBC__","User",4.37557405312019e-06
"c1_HuAgeGBsplitRnaseq_305","NPCbyNSC__","User",4.63727006494904e-06
"c1_HuAgeGBsplitRnaseq_43","QSVZbyPSVZ__","User",5.29796326731367e-06
"c1_HuAgeGBsplitRnaseq_59","QSVZbyPSVZ__","User",5.83713073494494e-06
"c1_HuAgeGBsplitRnaseq_193","PSVZbyQSVZ__","User",5.90127201157278e-06
"c1_HuAgeGBsplitRnaseq_303","QSVZbyPSVZ__","User",6.06823245607272e-06
"c1_HuAgeGBsplitRnaseq_31","QSVZbyPSVZ__","User",6.50869941978141e-06
"c1_HuAgeGBsplitRnaseq_223","PGBCbyQGBC__","User",7.22466683675461e-06
"c1_HuAgeGBsplitRnaseq_59","NPCbyNSC__","User",7.99230075550498e-06
"c1_HuAgeGBsplitRnaseq_56","QSVZbyPSVZ__","User",8.13010735896084e-06
"c1_HuAgeGBsplitRnaseq_305","QSVZbyPSVZ__","User",8.42283581127928e-06
"c1_HuAgeGBsplitRnaseq_89","PSVZbyQSVZ__","User",8.62528151526622e-06
"c1_HuAgeGBsplitRnaseq_583","PSVZbyQSVZ__","User",9.21627859129301e-06
"c1_HuAgeGBsplitRnaseq_56","PSVZbyQSVZ__","User",9.44639065562604e-06
"c1_HuAgeGBsplitRnaseq_764","QSVZbyPSVZ__","User",1.06936032830917e-05
