"","meanx","meany","tvalue","FC","logFC","pvalue","Contrast","adj.P.Val"
"Stambp",10.5366001533213,14.5644621020418,1.84380722634414,1.38227339845015,0.467042993134731,0.131810874077565,"NPCbyNSC",0.358492351993573
"Ergic3",166.412934615193,230.014483389816,7.59391029727683,1.38219113749597,0.466957133852301,0.00167649636837189,"NPCbyNSC",0.044525138643385
"Degs2",0.823040661119072,1.1375751936008,0.871362376267493,1.38216159582451,0.466926298697001,0.422404972825602,"NPCbyNSC",0.664221345343775
"Cideb",3.18765447260638,4.4045034920456,0.389152036158388,1.38173805533078,0.466484140983745,0.711416366150418,"NPCbyNSC",0.860509271101633
"Bcs1l",53.4908274352122,73.9036365752052,2.44801406816995,1.3816132619133,0.466353836274732,0.0499566912274811,"NPCbyNSC",0.211837628971
"Rps10-ps1",45.8754768797375,63.3525933062786,1.1314581482134,1.38096860491189,0.465680521585263,0.30254780123143,"NPCbyNSC",0.556913098691078
"Tmem160",13.9223828658434,19.2203021220749,0.874389070131403,1.38053250706308,0.465224859115078,0.417085320067773,"NPCbyNSC",0.659125203926767
"Lce1k",1.00739289878944,1.39072976195505,0.914021782882467,1.38052369003817,0.465215645048289,0.408448836066741,"NPCbyNSC",0.651292807223575
"Lipt2",6.02298359967937,8.3126547151278,1.23996427539387,1.38015562844473,0.464830956660044,0.267599847837713,"NPCbyNSC",0.521887107557073
"AC136518.1",2.27983473880097,3.1459748367223,1.40657765344605,1.3799135451269,0.464577881551375,0.21379102036306,"NPCbyNSC",0.461968973371172
"Adhfe1",4.03158152307072,5.56166879440847,1.0664114025813,1.37952532091484,0.464171937316786,0.329934806005297,"NPCbyNSC",0.582648161845557
"Hdac8",0.628888642555713,0.86744785055276,0.638154501272926,1.37933457826107,0.463972446591503,0.557246056362738,"NPCbyNSC",0.765238785169737
"Ift43",4.20102778660879,5.79431177651843,3.85041637906841,1.37926052167243,0.463894986094889,0.0168797239197589,"NPCbyNSC",0.121087272553448
"Pgam2",3.11997330312221,4.30264891657455,0.283235677326999,1.37906594016969,0.463691441102366,0.787016537286746,"NPCbyNSC",0.905763711572958
"Crcp",7.94255408459004,10.9479584726128,1.40555507758325,1.3783926877947,0.462986953374348,0.237320622604576,"NPCbyNSC",0.4869343075397
