"","logFC","logCPM","LR","PValue","adj.P.Val","Contrast","FC"
"Cpsf7",0.100251767449016,2.3952866643271,0.0296076897720292,0.86338340013233,0.953007501799679,"NSCbyNPC",1.07196051607793
"Dnaja3",0.0734551342045008,3.07305520695975,0.0295740162394798,0.86346034762061,0.953017033991703,"NSCbyNPC",1.05223368025829
"Vdac1",0.0495424596569551,5.72881340625781,0.0294843371977282,0.863665493738919,0.95310498802032,"NSCbyNPC",1.0349366490837
"Smad1",0.0673755599306286,3.33185973417432,0.0294787238394989,0.86367834530279,0.95310498802032,"NSCbyNPC",1.04780885542752
"Gmip",0.080471094420892,4.17113586477325,0.0294385814495186,0.863770286469886,0.95310498802032,"NSCbyNPC",1.05736325323421
"Cog7",0.100399524900982,2.3497197814587,0.0293897475924441,0.863882221409287,0.95310498802032,"NSCbyNPC",1.07207030938921
"Emsy",0.0791223078289934,3.22702566569974,0.029345503261915,0.863983719111476,0.95310498802032,"NSCbyNPC",1.05637517821951
"Cbln4",-0.193206654628269,1.34768297962604,0.0293352546294896,0.86400724098676,0.95310498802032,"NSCbyNPC",0.874659467896841
"Copg1",-0.0622130244463959,4.9884466692307,0.0293304530143752,0.864018262740519,0.95310498802032,"NSCbyNPC",0.957793782542416
"Rapgefl1",-0.100507180977107,2.28271301551651,0.0292743931667605,0.864147012765413,0.953155416934789,"NSCbyNPC",0.932705040444747
"Gm26721",-0.189606899289989,1.36388187665019,0.0291960032585408,0.864327260144008,0.953155416934789,"NSCbyNPC",0.876844608449421
"Zfp446",0.0925790893783575,3.67962085223037,0.0291866245172976,0.86434884200975,0.953155416934789,"NSCbyNPC",1.06627464660846
"Usp42",0.0657713122576562,3.62602698689423,0.0291861942149882,0.864349832284395,0.953155416934789,"NSCbyNPC",1.04664436076414
