"","PSVZbyQSVZ","AveExpr","F","P.Value","adj.P.Val"
"Crim1",-6.4981643570212,6.3380110254089,220.875549601514,6.69274836915004e-05,0.011239111421475
"Ubc",-0.742955481661397,13.2923579062203,220.029405391114,6.74806248339748e-05,0.0112441552775681
"Ppp1r3g",-5.40611515363022,5.27064086975787,218.801049623089,6.82955663292754e-05,0.0112726285825279
"Mapk8ip3",-5.42409940648478,5.93264240249972,218.198817455159,6.87003649365503e-05,0.0112726285825279
"Cdca2",7.01304023183654,6.09148261663943,213.317853653106,7.21142379877149e-05,0.011715057160806
"Slc12a4",-5.52319121535504,5.79965431586244,212.8056611614,7.24867458658849e-05,0.011715057160806
"Prim1",5.98406867820421,6.06830723593407,210.671010704588,7.40698547734148e-05,0.0118815785698101
"Aox1",-5.93178413877865,5.55085457011048,209.617750321906,7.48696154235832e-05,0.0119209065446661
"Dpysl3",5.05098770835778,5.11045635490005,207.045006386893,7.68769120805378e-05,0.0121505090086115
"Cenpm",4.09103629287825,4.36744624132649,205.825765743637,7.78556911705898e-05,0.0121800511362634
"Mgat4a",-5.15201654679464,5.40662597217388,205.405705811811,7.8197118250958e-05,0.0121800511362634
"Dnah11",5.8864085483306,5.52816677488646,202.095322507391,8.09659063546769e-05,0.0124422550497055
"Appl2",-5.52231434985386,7.96808723745281,200.58346396365,8.2278176856514e-05,0.0124422550497055
"Cadm1",-2.60394156047711,10.7125829194998,199.982528025214,8.28084074163413e-05,0.0124422550497055
"Cenpk",6.93548153913164,6.05270327028698,199.972760966759,8.28170664143426e-05,0.0124422550497055
"Ect2",7.02140751925018,6.09566626034625,199.620302325551,8.31304250029534e-05,0.0124422550497055
"Gid4",3.99848191334588,5.3949333202805,199.220892085029,8.34876214142439e-05,0.0124422550497055
"Cdk6",7.06542546739667,6.11767523441949,198.727017503661,8.39324020566314e-05,0.0124422550497055
"Hmgb3",4.24834792540673,9.62081180631107,196.7069425415,8.57881255427449e-05,0.0125990013138321
"Gm6251",3.02985727703106,10.9659505597881,196.307608761605,8.6162046668217e-05,0.0125990013138321
"Neat1",-6.36294222411921,6.3457003613291,194.776732577571,8.76177479608501e-05,0.0127252938676924
"Ascl1",8.81973354927717,7.75845332843281,193.383623263858,8.89738383300904e-05,0.0128185492923661
"Glul",-1.81799193831903,12.8441304500501,191.601474714796,9.07537094866373e-05,0.0128185492923661
"Ttr",-9.31192952732025,7.95288840707521,190.841302766148,9.15287412909602e-05,0.0128185492923661
"Nudt21",2.29144924632687,10.579868935685,190.784897261891,9.15866337546439e-05,0.0128185492923661
"Cdca7",5.40696211274449,6.99196216005209,190.230241837856,9.21587670757418e-05,0.0128185492923661
"St6galnac5",-6.41094276305038,6.52739947641255,190.216011943619,9.21735138955658e-05,0.0128185492923661
"Cyp4f14",-6.12553979124167,6.39106759815743,189.964920836079,9.24342935713766e-05,0.0128185492923661
"Fgfr3",-4.61431985464221,9.7198576715171,188.847208508174,9.36082913722662e-05,0.0128981424554286
"Dnmt1",5.09811456344921,7.27666430746667,187.828943593366,9.46968648257609e-05,0.0129650261747117
"Draxin",6.62722870586561,5.89857685365397,186.864004747891,9.57455555820691e-05,0.013001870674611
"Igfbpl1",3.28548871896972,4.22770686020602,186.472627546868,9.61757356251757e-05,0.013001870674611
