"","Glioblastoma_cancer_stem_cell"
"AC116351.1",0.921704282417957
"AC117489.1",0.449637832342296
"AC118549.1",2.43502771022764
"AC123595.1",1.30653179326302
"AC124016.2",1.54042813281313
"AC124068.2",0.703366950181769
"AC124242.1",0.907596027015428
"AC124798.1",1.98071288914495
"AC125257.1",5.29457513114287
"AC126474.1",2.07512148342766
"AC126544.1",1.40703309631817
"AC126755.3",0.411876445770485
"AC128688.2",1.47752543123264
"AC129492.5",1.42180284503107
"AC130343.2",0.483149815965132
"AC131097.3",0.381049576098461
"AC131097.4",1.06325295173025
"AC131211.1",0.710697560342997
"AC131235.1",1.98712332423007
"AC131902.1",0.654468413181631
"AC131902.2",0.419296730666328
"AC131902.3",0.750243995699203
"AC133528.1",0.532841710677867
"AC133963.1",0.35874911982608
"AC135178.6",0.674856865071762
"AC135803.1",2.67371855447708
"AC135983.2",1.65935787059691
"AC138150.2",0.900033968712781
"AC138207.3",1.69963036682235
"AC138356.3",0.37404782229897
"AC138393.1",2.28592623788546
"AC138761.1",1.26866690402465
"AC139887.2",2.92748312846105
"AC141557.1",0.848659342293617
"AC141557.2",1.24499002452678
"AC144652.1",4.2535858291975
"AC145124.1",2.77125191812704
"AC209007.1",2.58850660548784
"AC233266.2",0.599294518081395
"AC233964.1",0.642686843194168
"AC234772.2",1.0733374255402
"AC234775.3",3.63658172454548
"AC234782.2",0.371214358071736
"AC234782.4",0.661874419828427
"AC234782.5",0.414137355153485
"AC234783.1",1.46113076275984
"AC244090.3",2.08880831425528
"AC245100.3",1.0082534725675
"AC245297.3",0.467504473518297
"AC245884.10",1.0349886602662
"ACAA2",2.69556409831302
"ACACA",2.64800251897695
"ACAD9",3.21054720992841
"ACADM",3.27324141466614
"ACAP3",5.32196840052248
"ACAT1",3.85967613902748
"ACAT2",4.85640616720916
"ACBD3",4.13587978741838
"ACBD7",2.06696999908609
"ACCS",2.36674944111742
"ACD",5.35304737638528
"ACER3",1.82122268142879
"ACKR3",1.13922488361091
"ACLY",5.59886798895846
"ACO1",3.64150201098173
"ACOT2",1.47555013340596
"ACOT4",0.379295618362489
"ACOT9",2.66922051049087
"ACOX2",1.17976069230478
"ACP1",5.58782005274818
"ACP2",5.33640092996219
"ACRV1",0.540498328273965
"ACSL3",5.64071721045786
"ACSL4",3.36467769273786
"ACTB",9.29552462226597
"ACTBP11",0.684706793391745
"ACTBP9",1.0209614600393
"ACTG1",10.0411857038436
"ACTG1P24",1.01156449722845
"ACTG2",0.773972803284738
"ACTL6A",5.11871089308995
"ACTN1",5.2818790157068
"ACTN4",5.83117783123679
"ACTN4P1",0.749082962026007
"ACTR1A",4.52696049592782
"ACTR2",6.01463781107881
"ACTR3",4.51931801460865
"ACTR8",4.3311473861862
"ACTRT3",0.491967548432838
"ACVR1",1.70352126343287
"ACYP1",4.23132943456988
"ADAM10",3.54089863475345
"ADAM12",1.69394550410697
"ADAM15",6.32742116798203
"ADAM17",3.02218467903242
"ADAM19",3.53157728739436
"ADAM9",5.47428309958451
"ADAMTS1",1.68685871464003
"ADAMTS10",0.358879261385534
"ADAMTS15",2.38602747213853
"ADAMTS9",2.5872199529257
"ADAMTSL1",0.483741359662434
"ADAT1",2.32075124788059
"ADCK5",2.43143393699718
"ADCY3",2.08316780346778
"ADCY7",0.270488710976204
