"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues","StudySRP027383","StudySRP091303","GenderM","DiseaseCON","DiseaseGrade_2","DiseaseGrade_3","DiseaseGrade_4","Age","Tissueprefrontal_cortex","Overall_Survival","Censor_1dead_0alive","p.value.StudySRP027383","p.value.StudySRP091303","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseGrade_2","p.value.DiseaseGrade_3","p.value.DiseaseGrade_4","p.value.Age","p.value.Tissueprefrontal_cortex","p.value.Overall_Survival","p.value.Censor_1dead_0alive"
"31","red","PGBObyQGBO_GSE114574_Tejero_FC5___","User",0.0258558291169593,-0.0120241212592369,0.0273832599154078,0.0202424083553214,-0.00992077238905072,-0.0653480269643547,0.0848478113870438,0.0357030644426214,0.01715692578365,-0.00526524369980692,-0.0222801241789484,0.192954713253732,0.812649849382759,0.589309749218839,0.68987324495075,0.844964497448848,0.197253819909083,0.0938542746995795,0.481466057145881,0.735216271688674,0.91734327226417,0.660513044948744,0.00012335704594434
"32","red","QNSCbyPNSC_Ben_FC5___","User",0.000680453110385906,-0.0120241212592369,0.0273832599154078,0.0202424083553214,-0.00992077238905072,-0.0653480269643547,0.0848478113870438,0.0357030644426214,0.01715692578365,-0.00526524369980692,-0.0222801241789484,0.192954713253732,0.812649849382759,0.589309749218839,0.68987324495075,0.844964497448848,0.197253819909083,0.0938542746995795,0.481466057145881,0.735216271688674,0.91734327226417,0.660513044948744,0.00012335704594434
"33","royalblue","npcBYnsc_Walker_FC5___","User",0.012186946034563,0.0476016652320406,-0.054430116146351,0.0495557072472256,-0.00925535472880951,0.0891533796442268,0.00764722763574215,-0.0423022090552386,-0.0936284978554126,-0.0189420352615005,0.0820543723411679,-0.0875422583565863,0.347843362160496,0.282985835786139,0.328388985660474,0.855244689322926,0.0782794617485423,0.880186965346307,0.404186656539486,0.0643826374929231,0.708859084010109,0.10521974623771,0.0838423291520861
"34","saddlebrown","nscBYnpc_Walker_FC5___","User",1.01590974106545e-12,-0.0560630838959481,0.0386864237134139,0.0171869504903672,0.0337548231285994,-0.0949880249089014,-0.0335021401184894,-0.00998332133703632,0.0724708665592458,0.0322977753780839,0.00854021411062753,-0.0900021234674325,0.268771356377157,0.445576161565178,0.734770275940907,0.505723629205857,0.0605869368171559,0.508916075449988,0.843999486749961,0.152627521069248,0.52427558826855,0.866320366428448,0.0754715475309896
"35","saddlebrown","MicrogliByothers_Zhang_Cuffdiff2FCover20__","User",2.66840843205619e-17,-0.0560630838959481,0.0386864237134139,0.0171869504903672,0.0337548231285994,-0.0949880249089014,-0.0335021401184894,-0.00998332133703632,0.0724708665592458,0.0322977753780839,0.00854021411062753,-0.0900021234674325,0.268771356377157,0.445576161565178,0.734770275940907,0.505723629205857,0.0605869368171559,0.508916075449988,0.843999486749961,0.152627521069248,0.52427558826855,0.866320366428448,0.0754715475309896
"36","saddlebrown","MacroByMicro_Zhang_Cuffdiff2FCover20__","User",0.00432019817396207,-0.0560630838959481,0.0386864237134139,0.0171869504903672,0.0337548231285994,-0.0949880249089014,-0.0335021401184894,-0.00998332133703632,0.0724708665592458,0.0322977753780839,0.00854021411062753,-0.0900021234674325,0.268771356377157,0.445576161565178,0.734770275940907,0.505723629205857,0.0605869368171559,0.508916075449988,0.843999486749961,0.152627521069248,0.52427558826855,0.866320366428448,0.0754715475309896
"37","saddlebrown","macrophagesBYoFC5__","User",7.05092848022944e-07,-0.0560630838959481,0.0386864237134139,0.0171869504903672,0.0337548231285994,-0.0949880249089014,-0.0335021401184894,-0.00998332133703632,0.0724708665592458,0.0322977753780839,0.00854021411062753,-0.0900021234674325,0.268771356377157,0.445576161565178,0.734770275940907,0.505723629205857,0.0605869368171559,0.508916075449988,0.843999486749961,0.152627521069248,0.52427558826855,0.866320366428448,0.0754715475309896
"38","saddlebrown","MonoByMicro_Zhang_Cuffdiff2FCover20__","User",4.19709687653528e-14,-0.0560630838959481,0.0386864237134139,0.0171869504903672,0.0337548231285994,-0.0949880249089014,-0.0335021401184894,-0.00998332133703632,0.0724708665592458,0.0322977753780839,0.00854021411062753,-0.0900021234674325,0.268771356377157,0.445576161565178,0.734770275940907,0.505723629205857,0.0605869368171559,0.508916075449988,0.843999486749961,0.152627521069248,0.52427558826855,0.866320366428448,0.0754715475309896
"39","saddlebrown","monocytesBYoFC5__","User",2.13647036526344e-09,-0.0560630838959481,0.0386864237134139,0.0171869504903672,0.0337548231285994,-0.0949880249089014,-0.0335021401184894,-0.00998332133703632,0.0724708665592458,0.0322977753780839,0.00854021411062753,-0.0900021234674325,0.268771356377157,0.445576161565178,0.734770275940907,0.505723629205857,0.0605869368171559,0.508916075449988,0.843999486749961,0.152627521069248,0.52427558826855,0.866320366428448,0.0754715475309896
"40","salmon","monocytesBYoFC5__","User",1.51140598710286e-19,-0.00415648636121769,-0.00457509010871678,0.0143224587419727,0.00919486221424213,-0.00536787364350057,0.0382361381787107,-0.0395948676757034,0.01555188418096,0.00430208936447639,0.0448716218695595,-0.0420347538059311,0.934705232467667,0.928146258659236,0.777701189285127,0.856180494360468,0.915738052889075,0.450893804628174,0.434956993035124,0.759183953931235,0.932423300019978,0.376219247110141,0.407167385818034
