"","NPC","NSC"
"2700099C18Rik",0.96362370443048,1.2240053259745
"2810006K23Rik",4.50898221883021,4.85693577089783
"2810025M15Rik",6.14078097598034,7.04898119639656
"2810402E24Rik",3.34298614373324,4.66555165866813
"2810408I11Rik",1.69798038272881,2.54777268864218
"2810414N06Rik",1.44994739172989,1.4206969550439
"2810428J06Rik",1.58006741877044,1.02586328808676
"3110031N09Rik",0.482234707641252,1.00386312583568
"3110062M04Rik",2.32671590095747,2.87495222310655
"3110082I17Rik",1.21600070790819,1.52944832600032
"3830403N18Rik",0.12747165062047,1.03384335491862
"4632415L05Rik",3.24572086040816,4.17226276891765
"4833411C07Rik",0.774131193914899,1.39632935212527
"4833445I07Rik",0.543454269799507,1.4802621375538
"4921501I09Rik",0.592503141702826,1.74996810853263
"4921504A21Rik",0.622263482622675,0.900591245808876
"4921507G05Rik",0.651894250730031,1.93501318760824
"4921522P10Rik",0.590674198794182,0.685847204949158
"4921534A09Rik",0.281224282340943,0.588541055877152
"4930426L09Rik",0.917809849839588,1.40950280201317
"4930430E12Rik",0.249230974858508,1.10809153672386
"4930432K21Rik",0.840197147831552,1.62333577249045
"4930447K03Rik",0.48839328028197,0.672481130229364
"4930520O04Rik",0.994325577935474,1.94611904340488
"4930524J08Rik",1.01206994812732,1.64893166491336
"4930539J05Rik",0.497116163244372,0.961531083091097
"4930547M16Rik",0.291583860927921,0.696298634521928
"4930555A03Rik",0.48812196406495,1.25253735265858
"4930558J18Rik",0.88395271753204,2.51279078394238
"4930579G24Rik",5.21559353732261,6.12565463506869
"4931414P19Rik",2.52292832817171,3.0706388601788
"4933404O12Rik",3.12336917422583,4.48177077857816
"4933428P19Rik",0.30619619527932,1.00894356605837
"5033421B08Rik",0.0380542589723302,1.39343374864365
"5430427N15Rik",2.05785434501088,2.62651772314707
"5430427O19Rik",0.362756859872009,2.49112365672079
"6330537M06Rik",0.648809759517235,1.02335826598735
"6720489N17Rik",2.51521066683846,3.63501749658422
"8030462N17Rik",0.799022071507824,1.15248532982469
"9130019O22Rik",2.47060588927997,3.57072030130987
"9330102E08Rik",0.665863768649727,0.699269666482923
"9330121K16Rik",0.393795413204134,1.61811324472039
"9430015G10Rik",3.46805720042748,3.91153056728559
"9430037O13Rik",1.99712902613932,4.16532773518281
"9430038I01Rik",1.10862876647235,1.75265806758837
"9530068E07Rik",5.04843550396929,5.52840428125244
"9930012K11Rik",1.68130535351331,2.83147805022712
"A130006I12Rik",1.38434662358452,1.61184571807473
"A130010J15Rik",1.47631931282978,2.16950437268835
"A230050P20Rik",0.873982504984405,1.01144712252662
"A430005L14Rik",6.54819202545781,7.24243886700004
"A430105J06Rik",1.05616826835011,1.17675648068423
"A730089K16Rik",0.332852712347876,0.630709979170109
"A930012O16Rik",0.485489018944514,0.819877762316655
"AA386476",0.877181465115754,1.32728093907945
"AA467197",0.761250034365571,1.14704971994177
"AA543186",1.78412503064482,2.07519006769013
"AB124611",2.3312194372407,4.31528815024468
"AC099629.1",0.353806723048298,1.69163723846159
"AC101945.2",0.0500893145745025,0.997051855361535
"AC104325.1",1.26467729649023,2.41161289476093
"AC113178.1",1.83657335250837,2.12060029584216
"AC113595.1",0.822931578118954,1.82686766123756
"AC117588.1",0.816389081168833,1.20244381089987
"AC121567.1",1.54233437607448,3.34621565567434
"AC122035.2",1.6749011141419,1.63168739077514
"AC122459.3",0.366928163187025,0.435290771562305
"AC123870.1",1.59460926862525,1.89413048422025
"AC126028.2",0.824540193154628,1.13816578268065
"AC131178.1",2.38115519984417,3.21851610307159
"AC135119.1",0.932398561677856,1.34663170846174
"AC137842.1",1.68876473075333,2.26937996905006
"AC138177.1",1.3143631003816,1.87309084143925
"AC138177.5",2.47940742046874,3.39933354971591
"AC139513.1",0.512356401347498,1.30227318883223
"AC139671.1",0.224756786766118,2.28007529634353
"AC144819.1",1.03001154662125,1.66863106099887
"AC152940.1",2.53595642895265,2.38404464157793
"AC154718.1",0.658972919697635,0.76433487960214
"AC157572.1",0.70706533228819,0.938463260081655
"AC157572.2",0.410649894603285,0.89393301734244
