"","Gene","Category"
"603","Slc2a4rg-ps","NPCbyNSC"
"604","Pglyrp1","NPCbyNSC"
"605","Ttc9b","NPCbyNSC"
"606","Il23a","NPCbyNSC"
"607","Tmem147","NPCbyNSC"
"608","Gpr61","NPCbyNSC"
"609","Gm14506","NPCbyNSC"
"610","Dtx3","NPCbyNSC"
"611","Chl1","NPCbyNSC"
"612","Srsf12","NPCbyNSC"
"613","Tmem151b","NPCbyNSC"
"614","Mmd2","NPCbyNSC"
"615","2900011O08Rik","NPCbyNSC"
"616","Wnt8b","NPCbyNSC"
"617","Gm5514","NPCbyNSC"
"618","S100a13","NPCbyNSC"
"619","Sbk1","NPCbyNSC"
"620","Kdelr3","NPCbyNSC"
"621","Acsl6","NPCbyNSC"
"622","Hspa12a","NPCbyNSC"
"623","Gm19248","NPCbyNSC"
"624","Gm23102","NPCbyNSC"
"625","Atp2a3","NPCbyNSC"
"626","Gm31294","NPCbyNSC"
"627","Vps26b","NPCbyNSC"
"628","Lamb1","NPCbyNSC"
"629","Gm32460","NPCbyNSC"
"630","Ak1","NPCbyNSC"
"631","Paqr3","NPCbyNSC"
"632","Fam131a","NPCbyNSC"
"633","Slx1b","NPCbyNSC"
"634","Arl8a","NPCbyNSC"
"635","Brd3os","NPCbyNSC"
"636","Gm28437","NPCbyNSC"
"637","A530099J19Rik","NPCbyNSC"
"638","Fjx1","NPCbyNSC"
"639","Pls1","NPCbyNSC"
"640","Rhcg","NPCbyNSC"
"641","2310016G11Rik","NPCbyNSC"
"642","Nudt17","NPCbyNSC"
"643","Gpx4","NPCbyNSC"
"644","Endod1","NPCbyNSC"
"645","Gm18103","NPCbyNSC"
"646","Trbj2-1","NPCbyNSC"
"647","Pgbd5","NPCbyNSC"
"648","Zfp868","NPCbyNSC"
"649","Traf1","NPCbyNSC"
"650","Olfr1340","NPCbyNSC"
"651","Nrbp2","NPCbyNSC"
"652","Dgat1","NPCbyNSC"
"653","Serpinh1","NPCbyNSC"
"654","Pja1","NPCbyNSC"
"655","Gm28438","NPCbyNSC"
"656","Tsc22d4","NPCbyNSC"
"657","Aatk","NPCbyNSC"
"658","Hecw1","NPCbyNSC"
"659","Gpr19","NPCbyNSC"
"660","Apbb1","NPCbyNSC"
"661","Emc7","NPCbyNSC"
"662","B630019K06Rik","NPCbyNSC"
"663","Gm12468","NPCbyNSC"
"664","Pla2g7","NPCbyNSC"
"665","Clcn2","NPCbyNSC"
"666","Sod3","NPCbyNSC"
"667","Tmem252","NPCbyNSC"
"668","Cnn3","NPCbyNSC"
"669","Lrrc75b","NPCbyNSC"
"670","Tmem59","NPCbyNSC"
"671","Mgst3","NPCbyNSC"
"672","Pnmal1","NPCbyNSC"
"673","Gm4491","NPCbyNSC"
"674","Vmp1","NPCbyNSC"
"675","Tecr","NPCbyNSC"
"676","L1cam","NPCbyNSC"
"677","Gm34304","NPCbyNSC"
"678","Gm38300","NPCbyNSC"
"679","Tnni1","NPCbyNSC"
"680","Gm13536","NPCbyNSC"
"681","1700001P01Rik","NPCbyNSC"
"682","Palmd","NPCbyNSC"
"683","Plcd1","NPCbyNSC"
"684","Zbtb48","NPCbyNSC"
"685","Gm47525","NPCbyNSC"
"686","Aqp4","NPCbyNSC"
"687","Il4","NPCbyNSC"
"688","Inpp5f","NPCbyNSC"
