"","PGBC_SRR5196886","PGBC_SRR5196887","PGBC_SRR5196888","PGBC_SRR5196889","PGBC_SRR5196890","PGBC_SRR5196891","PGBC_SRR5196892","PGBC_SRR5196893","PGBC_SRR5196898","QGBC_SRR5196894","QGBC_SRR5196895","QGBC_SRR5196896","QGBC_SRR5196897","QGBC_SRR5196899","QGBC_SRR5196900"
"NOP58",5.01784355892528,4.6226804050692,5.17006932677385,5.28697160854209,4.3211075379918,4.17545650134368,4.51201291956173,4.30119867966066,4.53362571530828,3.52619462423725,3.56927778293955,3.48546384664196,3.52541716795727,3.61652740646871,3.7053613532557
"NOSIP",3.26241663739276,2.89008990348144,3.39765211411126,3.29809257105452,2.8036298927671,3.49299206590783,3.27701439427062,2.96382128407972,3.33116668563348,2.58054013312929,2.57289773678268,2.86336947814453,2.82024657605442,2.91067096964925,3.33181641352583
"NOV",0,0.0278025361940231,2.56280639087404,2.56639795234633,4.995351356315,0.30095823005269,0,0.0649156638745433,0,0,0.0655058171471757,0,0.187824527482814,0,0.095324984663615
"NPEPL1",0.285294908223367,0.142772724535682,1.34688472511936,1.26552221311182,0.779669303023587,1.34617034210962,0.384056594427689,0.135428331447292,0.37574304610109,0.437535583827848,0.160867569599276,0.400715031170817,0.062951642672039,0.333310267662469,0.241943887434912
"NPLOC4",4.75865263333255,3.61108254458312,5.58527677614135,5.5117790978736,3.95875439490144,4.02805584814972,4.75023750201478,3.86568992665034,4.93074940711969,4.42111184484779,3.45586183694997,4.20190695973484,3.32485371187794,4.36027612738711,5.18282147449773
"NPM1",8.35526348698099,8.04657651474777,7.52007008389743,8.00368272885527,8.46605940019889,7.65624055519463,7.89040757740178,7.86421489232644,7.80174625200834,7.28206787322617,6.99153625357355,7.37223801570191,7.77148371319538,6.96066063267968,7.82571029634661
"NPM1P12",1.48763450415181,0.808240729886623,1.11166975690484,0.8862592618321,1.27756658007084,1.08352294434083,0.774319667904106,0,0.468406073661727,0,0,1.03614077732455,0.342956533619443,0,0
"NPM1P21",1.63759755748458,1.30153618276969,0.786255918222304,0.732813721244078,0.945602491563417,1.56785121323645,0,0,0,0,0.43265329590929,0,0.504591248584653,0.289030166468885,0
"NPM1P31",0.546420694213909,0.468167813863409,0.962060668094919,0.519053798538381,1.14509795218156,0,1.06194706399514,0,0.476704646912631,0,0,0,0.349293971647911,0,0
"NPM1P35",1.33165446360608,0.239292582278668,0.532259440240434,1.01359259898056,0.752109198131709,0.853216149096204,0.750655569749195,0,0,0.355351847951791,0.281369263549004,0,0.330950317863422,0.348441485747149,0
"NPM1P39",1.5619684425483,1.81913890546563,0.739900340749186,1.503956083061,2.06931222343425,1.77499224932005,1.01793382499475,1.04827051096917,0,0,0.281664079494053,1.00772741897242,1.19578553776018,0.629472414157862,0.397286255609935
"NPM1P46",0.961102518005438,0.728465131390105,0.572761452447951,0.374944540525579,1.58162129286535,0.257936215653751,0.320213109821134,0.390379123384135,1.2276711202487,0,0.210156524213921,0.633543929612522,0.248239925601751,0,0.299350355436574
"NPM1P9",1.87749503280325,1.68998231830401,3.31443048648295,3.38282782737022,2.01771299808847,0.871416280332385,1.63501105269504,1.7713534285587,1.533651108244,0.36428067203356,1.21960456155302,0.332932765671614,1.04313069559683,0.881945147514524,0
"NPR1",0.134868485092782,0.350885941659995,4.04314717922068,4.29641010854967,0.107493754832309,0,0.182737727077795,0.691606666025263,0.247919724186675,0.109610170681536,0.165719870348086,0.362141418846997,0.159107652715247,0.353833909757462,0.763902139946392
"NPR2",1.28321839204043,0.513590450591554,4.09077427105933,4.02188059038572,4.52888843033948,4.78602241704279,2.20884174186853,0.914536766760538,2.12653101945032,1.94662483791935,1.17973831025518,2.35406353057276,1.18469114663964,2.30021618296465,2.25346036325504
