"","meanx","meany","FC","logFC","Contrast"
"Tgif2",8.72222222222223,949.500000000012,108.859872611466,6.7663284427002,"PSVZbyQSVZ"
"Prr11",5.99999999999998,625.305555555547,104.217592592591,6.70345502404903,"PSVZbyQSVZ"
"Elavl2",5.00000000000002,499.749999999998,99.9499999999994,6.64313466185726,"PSVZbyQSVZ"
"Mis18bp1",5.00000000000002,499.666666666666,99.9333333333329,6.64289407233933,"PSVZbyQSVZ"
"Insm1",40.7222222222223,4065.91666666661,99.8451568894937,6.64162054457998,"PSVZbyQSVZ"
"Ncapd2",19.2222222222222,1918.16666666668,99.7890173410411,6.64080913790978,"PSVZbyQSVZ"
"Gins1",7.27777777777779,688.027777777778,94.5381679389312,6.5628250017774,"PSVZbyQSVZ"
"4633402D09Rik",5.00000000000002,468.916666666667,93.7833333333331,6.55125965244904,"PSVZbyQSVZ"
"Arhgap33",15.2222222222223,1414.66666666664,92.9343065693413,6.53813935867537,"PSVZbyQSVZ"
"Ccnb1",5.00000000000002,457.75,91.5499999999998,6.51648798090997,"PSVZbyQSVZ"
"Melk",5.00000000000002,451.972222222223,90.3944444444442,6.4981622036037,"PSVZbyQSVZ"
"Tcf19",6.66666666666666,602.444444444445,90.3666666666668,6.49771880222919,"PSVZbyQSVZ"
"Hist1h2ab",47.5555555555556,4230.41666666657,88.957359813082,6.47504206549041,"PSVZbyQSVZ"
"Abracl",16.8888888888889,1492.41666666667,88.36677631579,6.46543214941508,"PSVZbyQSVZ"
"Tk1",5.33333333333334,469.055555555556,87.9479166666667,6.45857749805058,"PSVZbyQSVZ"
"Cdca5",7.16666666666666,629.833333333333,87.8837209302325,6.45752404855786,"PSVZbyQSVZ"
"Tpx2",19.8888888888889,1745.02777777776,87.7388268156414,6.45514351062937,"PSVZbyQSVZ"
"Ckap2l",8.83333333333334,771.083333333344,87.2924528301898,6.44778502096275,"PSVZbyQSVZ"
"Fignl1",5.00000000000002,428.277777777778,85.6555555555554,6.42047491635742,"PSVZbyQSVZ"
"Cdk1",6.83333333333335,576.472222222221,84.3617886178859,6.39851777800852,"PSVZbyQSVZ"
"Ccnb2",5.00000000000002,418.694444444445,83.7388888888887,6.38782587032019,"PSVZbyQSVZ"
"Cdc6",5.99999999999998,499.805555555556,83.3009259259263,6.38026062674851,"PSVZbyQSVZ"
"Fanci",5.00000000000002,415.388888888889,83.0777777777775,6.37639072137496,"PSVZbyQSVZ"
"Spc24",5.99999999999998,497.833333333333,82.9722222222224,6.37455652086848,"PSVZbyQSVZ"
"Prc1",9.88888888888889,814.638888888882,82.3792134831453,6.36420844700537,"PSVZbyQSVZ"
"Cks2",43.6111111111111,3578.11111111103,82.0458598726096,6.3583586304307,"PSVZbyQSVZ"
"Hmmr",5.00000000000002,406.055555555555,81.2111111111107,6.34360522190691,"PSVZbyQSVZ"
"Bub1",5.00000000000002,403.666666666667,80.7333333333332,6.33509255408581,"PSVZbyQSVZ"
"Nolc1",28.3333333333334,2283.36111111106,80.5892156862727,6.33251488752532,"PSVZbyQSVZ"
"Psmc3ip",11.2222222222222,901.36111111113,80.3193069306947,6.32767491532192,"PSVZbyQSVZ"
"Nptx2",14.2777777777778,1143.30555555554,80.0758754863804,6.32329576126172,"PSVZbyQSVZ"
"Dbf4",5.33333333333334,425.416666666668,79.7656250000001,6.31769524576517,"PSVZbyQSVZ"
