GSM2652126	GSM2652127	GSM2652129	GSM2652134	GSM2652135	GSM2652136
1416167_at	398	896	497	963	1218	1171
1416168_at	5	5	5	5	22	11
1416169_at	5	5	5	5	5	5
1416170_at	434	364	457	589	421	625
1416171_at	602	555	195	1734	1937	1270
1416172_at	11	97	103	153	315	16
1416173_at	5	6	6	6	6	6
1416174_at	98	142	212	576	390	20
1416175_a_at	1168	1608	424	1913	1857	2608
1416176_at	317	640	139	1200	2810	2137
1416177_at	565	661	185	2021	1602	2219
1416178_a_at	1552	1224	1050	266	142	378
1416179_a_at	1842	2693	916	2101	2578	2436
1416180_a_at	1342	1362	1433	2609	2594	2354
1416181_at	1513	2793	249	3467	3199	2300
1416182_at	9	9	9	16	14	11
1416183_a_at	11140	8919	9106	4624	3811	2729
1416184_s_at	77	116	252	1894	1001	980
1416185_a_at	3788	3065	2866	5620	4629	4911
1416186_at	2281	1659	3786	1431	3869	1302
1416187_s_at	3337	4625	3217	2588	4308	5321
1416188_at	759	863	1411	151	122	689
1416189_a_at	16544	18322	12620	11026	10908	11202
1416190_a_at	53	794	149	407	68	12
1416191_at	46	114	169	203	56	38
1416192_at	5	9	25	23	5	15
1416193_at	4	5	5	4	4	5
1416194_at	5	5	5	5	5	5
1416195_at	18	6	6	6	6	6
1416196_at	6	6	6	210	6	6
1416197_at	268	226	39	1759	994	477
1416198_at	361	93	34	68	323	172
1416199_at	135	8	72	8	5	7
1416200_at	1193	1031	1144	20	5	11
1416201_at	121	278	82	1479	401	152
1416202_at	406	270	1689	6541	5097	4059
1416203_at	5	6	5	5	5	5
1416204_at	31	27	31	462	342	95
1416205_at	126	41	73	6	9	28
1416206_at	11	12	11	11	19	11
1416207_at	175	85	69	14	101	28
1416208_at	253	454	77	1433	242	706
1416209_at	7544	4190	5537	2187	2254	1518
1416210_at	440	46	616	152	372	190
1416211_a_at	24936	22004	23427	11801	6415	4104
1416212_at	184	903	274	1600	1330	1284
1416213_x_at	2978	832	650	581	614	244
1416214_at	42	161	77	1414	1393	497
1416215_at	229	348	275	39	131	664
1416216_at	367	59	59	97	198	866
1416217_a_at	3027	3750	4374	12373	12612	11178
1416218_x_at	47	48	49	112	49	101
1416219_at	3315	1742	4143	13533	14569	12213
